TASKID;SCHEDULETYPEID;LINES_LINEID;PLANVERSIONID
146;5212043;306;254
147;5212024;150;254
147;5212027;431;254
147;5212043;251;254
148;5212024;385;254
148;5212027;3121;254
148;5212043;3191;254
149;5212024;3721;254
149;5212027;318;254
149;5212043;421;254
150;5212024;2402;254
150;5212027;318;254
150;5212043;2212;254
151;5212024;303;254
151;5212027;282;254
151;5212043;2121;254
152;5212024;2402;254
152;5212027;352;254
152;5212043;2842;254
153;5212027;2242;254
153;5212043;2401;254
153;5212024;1571;254
154;5212027;3124;254
154;5212043;3173;254
155;5212024;318;254
155;5212027;272;254
155;5212043;3121;254
156;5212027;431;254
156;5212043;305;254
156;5212024;150;254
157;5212024;131;254
157;5212043;2842;254
157;5212027;1472;254
158;5212024;150;254
158;5212043;304;254
158;5212027;347;254
159;5212024;131;254
159;5212027;3124;254
159;5212043;150;254
160;5212024;3122;254
160;5212027;3124;254
160;5212043;2241;254
161;5212027;2472;254
161;5212043;2241;254
161;5212024;150;254
162;5212024;150;254
162;5212043;421;254
162;5212027;3442;254
163;5212024;357;254
163;5212027;2242;254
163;5212043;373;254
164;5212024;131;254
164;5212027;375;254
164;5212043;140;254
165;5212024;3413;254
165;5212027;2402;254
165;5212043;2841;254
166;5212024;1472;254
166;5212027;2841;254
166;5212043;140;254
167;5212024;131;254
167;5212027;272;254
167;5212043;2274;254
168;5212024;376;254
168;5212027;2274;254
168;5212043;2241;254
169;5212024;140;254
169;5212027;2521;254
169;5212043;140;254
170;5212024;441;254
170;5212027;2102;254
170;5212043;2301;254
171;5212024;2242;254
171;5212027;2102;254
171;5212043;3142;254
172;5212024;131;254
172;5212027;3441;254
172;5212043;347;254
173;5212024;376;254
173;5212027;3452;254
173;5212043;318;254
174;5212024;3192;254
174;5212027;2121;254
174;5212043;2841;254
175;5212024;2471;254
175;5212027;2101;254
175;5212043;2274;254
176;5212024;1571;254
176;5212027;2273;254
176;5212043;131;254
177;5212027;2402;254
177;5212043;441;254
177;5212024;2274;254
178;5212024;131;254
178;5212043;3781;254
179;5212024;1472;254
179;5212027;375;254
179;5212043;2401;254
180;5212027;347;254
180;5212043;318;254
180;5212024;3371;254
181;5212024;272;254
181;5212043;3173;254
181;5212027;1472;254
182;5212024;2274;254
182;5212027;243;254
182;5212043;441;254
183;5212024;131;254
183;5212027;2211;254
183;5212043;2301;254
184;5212024;2402;254
184;5212027;282;254
184;5212043;2524;254
185;5212027;282;254
185;5212043;347;254
185;5212024;131;254
186;5212024;131;254
186;5212043;441;254
186;5212027;131;254
187;5212043;2401;254
187;5212024;2841;254
187;5212027;1472;254
188;5212024;1472;254
188;5212027;282;254
188;5212043;131;254
189;5212024;131;254
189;5212027;282;254
189;5212043;322;254
190;5212024;1472;254
190;5212027;2101;254
190;5212043;2521;254
191;5212024;131;254
191;5212027;2273;254
191;5212043;2471;254
192;5212024;375;254
192;5212027;2212;254
192;5212043;441;254
193;5212024;131;254
193;5212027;306;254
193;5212043;385;254
194;5212024;131;254
194;5212027;142;254
194;5212043;302;254
195;5212024;3112;254
195;5212027;347;254
195;5212043;272;254
196;5212027;2101;254
196;5212043;2273;254
196;5212024;2141;254
197;5212024;272;254
197;5212027;2402;254
197;5212043;1571;254
198;5212024;2471;254
198;5212027;1472;254
198;5212043;347;254
199;5212024;3781;254
199;5212027;375;254
199;5212043;306;254
200;5212024;2242;254
200;5212043;2242;254
201;5212027;347;254
201;5212043;2301;254
201;5212024;2141;254
202;5212024;2141;254
202;5212027;431;254
202;5212043;3442;254
203;5212043;2273;254
203;5212024;1571;254
203;5212027;318;254
204;5212027;3411;254
204;5212043;150;254
204;5212024;437;254
205;5212024;431;254
205;5212043;318;254
205;5212027;150;254
206;5212024;272;254
206;5212027;2521;254
206;5212043;2301;254
207;5212024;3721;254
207;5212027;2841;254
207;5212043;3142;254
208;5212027;140;254
208;5212043;2521;254
208;5212024;2211;254
209;5212024;1472;254
209;5212043;385;254
209;5212027;3121;254
210;5212024;1472;254
210;5212043;2274;254
210;5212027;142;254
211;5212024;1472;254
211;5212027;3131;254
211;5212043;421;254
212;5212024;347;254
212;5212027;318;254
212;5212043;2274;254
213;5212024;2141;254
213;5212027;3173;254
213;5212043;2274;254
214;5212024;336;254
214;5212027;150;254
214;5212043;421;254
215;5212024;333;254
215;5212027;1472;254
215;5212043;371;254
216;5212024;3781;254
216;5212027;2521;254
216;5212043;318;254
446;5192020;2524;253
446;5192019;2842;253
447;5192019;333;253
447;5192018;333;253
448;5192019;332;253
448;5192018;2524;253
449;5192018;2141;253
449;5192020;2212;253
449;5192019;2471;253
450;5192019;2121;253
450;5192018;305;253
451;5192019;2472;253
451;5192018;2212;253
452;5192019;243;253
452;5192018;357;253
453;5192019;441;253
453;5192018;304;253
454;5192019;3371;253
454;5192018;2104;253
455;5192019;2301;253
455;5192018;2121;253
456;5192018;421;253
456;5192020;2212;253
456;5192019;2471;253
457;5192019;2842;253
457;5192018;3371;253
458;5192019;452;253
458;5192018;2471;253
459;5192019;2471;253
459;5192018;421;253
460;5192019;2471;253
460;5192018;376;253
461;5192018;282;253
461;5192019;1571;253
461;5192020;2212;253
462;5192019;2274;253
462;5192018;333;253
463;5192019;437;253
463;5192018;272;253
464;5192019;2121;253
464;5192018;2121;253
465;5192019;3011;253
465;5192018;2243;253
466;5192019;2524;253
466;5192018;2242;253
467;5192019;437;253
467;5192018;4272;253
468;5192019;2121;253
468;5192018;2211;253
469;5192019;2274;253
469;5192018;282;253
470;5192019;2472;253
470;5192018;2471;253
471;5192019;271;253
471;5192018;2274;253
472;5192019;2842;253
472;5192018;2121;253
473;5192019;142;253
473;5192018;2141;253
474;5192019;3011;253
474;5192018;437;253
475;5192019;421;253
475;5192018;3171;253
476;5192019;357;253
476;5192018;3121;253
477;5192019;431;253
477;5192018;2242;253
478;5192019;427;253
478;5192018;333;253
479;5192018;322;253
480;5192019;2473;253
480;5192018;2243;253
481;5192019;272;253
481;5192018;1472;253
482;5192019;1571;253
482;5192018;142;253
483;5192019;2471;253
483;5192018;441;253
484;5192019;2524;253
484;5192018;3141;253
485;5192019;142;253
485;5192018;2842;253
486;5192019;332;253
486;5192018;437;253
487;5192019;2473;253
487;5192018;1472;253
488;5192019;2121;253
488;5192018;347;253
489;5192019;421;253
489;5192018;371;253
490;5192018;437;253
490;5192019;2211;253
491;5192018;2472;253
491;5192020;251;253
491;5192019;355;253
492;5192019;2274;253
492;5192018;333;253
493;5192019;427;253
493;5192018;2841;253
494;5192018;2273;253
494;5192020;2212;253
494;5192019;421;253
495;5192019;243;253
495;5192018;427;253
496;5192019;1571;253
496;5192018;2472;253
497;5192019;131;253
497;5192018;271;253
