CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
40070;2-feb-19;5212027;254
40071;3-feb-19;5212043;254
40072;4-feb-19;5212024;254
40073;5-feb-19;5212024;254
40074;6-feb-19;5212024;254
40075;7-feb-19;5212024;254
40076;8-feb-19;5212024;254
40077;9-feb-19;5212027;254
40078;10-feb-19;5212043;254
40079;11-feb-19;5212024;254
40080;12-feb-19;5212024;254
40081;13-feb-19;5212024;254
40082;14-feb-19;5212024;254
40083;15-feb-19;5212024;254
40084;16-feb-19;5212027;254
40085;17-feb-19;5212043;254
40086;18-feb-19;5212024;254
40087;19-feb-19;5212024;254
40088;20-feb-19;5212024;254
40089;21-feb-19;5212024;254
40090;22-feb-19;5212024;254
40091;23-feb-19;5212027;254
40092;24-feb-19;5212043;254
40093;25-feb-19;5212024;254
40094;26-feb-19;5212024;254
40095;27-feb-19;5212024;254
40096;28-feb-19;5212024;254
40097;1-mar-19;5212024;254
40098;2-mar-19;5212027;254
40099;3-mar-19;5212043;254
40405;4-mar-19;5212046;255
40406;5-mar-19;5212046;255
40407;6-mar-19;5212046;255
40408;7-mar-19;5212046;255
40409;8-mar-19;5212046;255
40410;9-mar-19;5212016;255
40411;10-mar-19;5212038;255
40412;11-mar-19;5212046;255
40413;12-mar-19;5212046;255
40414;13-mar-19;5212046;255
40415;14-mar-19;5212046;255
40416;15-mar-19;5212046;255
40417;16-mar-19;5212016;255
40418;17-mar-19;5212038;255
41025;26-mar-19;5313024;257
41026;27-mar-19;5313024;257
41027;28-mar-19;5313024;257
41028;29-mar-19;5313024;257
41029;30-mar-19;5313027;257
41030;31-mar-19;5313043;257
41031;01-APR-19;5313024;257
41032;02-APR-19;5313024;257
41033;03-APR-19;5313024;257
41034;04-APR-19;5313024;257
41035;05-APR-19;5313024;257
41036;06-APR-19;5313027;257
41037;07-APR-19;5313043;257
41038;08-APR-19;5313024;257
41039;09-APR-19;5313024;257
41040;10-APR-19;5313024;257
41041;11-APR-19;5313024;257
41042;12-APR-19;5313024;257
41043;13-APR-19;5313027;257
41044;14-APR-19;5313043;257
33385;1-oct-17;4652038;208
33386;2-oct-17;4652041;208
34205;29-DEC-17;4792127;223
34206;30-DEC-17;4792130;223
27545;25-DEC-16;4352121;180
27546;26-DEC-16;4352046;180
27547;27-DEC-16;4352046;180
27548;28-DEC-16;4352046;180
27549;29-DEC-16;4352046;180
27550;30-DEC-16;4352046;180
27551;31-DEC-16;4352042;180
27552;01-JAN-17;4352038;180
28305;10-JAN-17;4352018;182
28306;11-JAN-17;4352018;182
28307;12-JAN-17;4352018;182
28308;13-JAN-17;4352018;182
28309;14-JAN-17;4352019;182
29025;23-JAN-17;4412041;184
29026;24-JAN-17;4412041;184
