CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
38934;19-DEC-18;5112024;251
38935;20-DEC-18;5112024;251
38936;21-DEC-18;5112024;251
38937;22-DEC-18;5112019;251
38938;23-DEC-18;5112020;251
33365;28-sep-17;4652041;207
33366;29-sep-17;4652041;207
38925;10-DEC-18;5112018;251
38885;26-nov-18;5132012;250
38825;13-nov-18;5092012;249
38926;11-DEC-18;5112018;251
38826;14-nov-18;5092012;249
41867;15-may-19;5352018;260
41868;16-may-19;5352018;260
41869;17-may-19;5352018;260
41870;18-may-19;5352019;260
41871;19-may-19;5352020;260
41872;20-may-19;5352018;260
41873;21-may-19;5352018;260
41874;22-may-19;5352018;260
41875;23-may-19;5352018;260
41876;24-may-19;5352018;260
41877;25-may-19;5352019;260
41878;26-may-19;5352020;260
41879;27-may-19;5352018;260
41880;28-may-19;5352018;260
41881;29-may-19;5352018;260
41882;30-may-19;5352018;260
41883;31-may-19;5352018;260
41884;1-jun-19;5352019;260
41885;2-jun-19;5352020;260
41886;3-jun-19;5352095;260
41887;4-jun-19;5352018;260
41888;5-jun-19;5352018;260
41889;6-jun-19;5352018;260
41890;7-jun-19;5352018;260
41891;8-jun-19;5352019;260
41892;9-jun-19;5352020;260
41865;13-may-19;5352018;260
41866;14-may-19;5352018;260
42107;12-jun-19;5392024;261
42108;13-jun-19;5392024;261
42109;14-jun-19;5392024;261
42110;15-jun-19;5392027;261
42111;16-jun-19;5392026;261
42112;17-jun-19;5392024;261
42113;18-jun-19;5392024;261
42114;19-jun-19;5392024;261
42115;20-jun-19;5392024;261
42116;21-jun-19;5392024;261
42327;24-jun-19;5432095;262
42328;25-jun-19;5432018;262
42329;26-jun-19;5432018;262
42330;27-jun-19;5432018;262
42331;28-jun-19;5432018;262
42332;29-jun-19;5432019;262
42333;30-jun-19;5432020;262
42334;1-jul-19;5432095;262
42335;2-jul-19;5432018;262
42336;3-jul-19;5432018;262
42337;4-jul-19;5432018;262
42338;5-jul-19;5432018;262
42339;6-jul-19;5432019;262
42340;7-jul-19;5432020;262
42341;8-jul-19;5432018;262
42342;9-jul-19;5432018;262
42343;10-jul-19;5432018;262
42344;11-jul-19;5432018;262
42345;12-jul-19;5432018;262
42346;13-jul-19;5432019;262
42347;14-jul-19;5432020;262
42348;15-jul-19;5432018;262
42349;16-jul-19;5432018;262
42350;17-jul-19;5432018;262
42351;18-jul-19;5432018;262
42352;19-jul-19;5432018;262
42353;20-jul-19;5432095;262
42354;21-jul-19;5432020;262
42355;22-jul-19;5432018;262
42356;23-jul-19;5432018;262
42357;24-jul-19;5432018;262
42358;25-jul-19;5432018;262
42359;26-jul-19;5432018;262
42360;27-jul-19;5432019;262
42361;28-jul-19;5432020;262
42362;29-jul-19;5432018;262
42363;30-jul-19;5432018;262
42364;31-jul-19;5432018;262
42365;01-AUG-19;5432018;262
42366;02-AUG-19;5432018;262
42367;03-AUG-19;5432019;262
42368;04-AUG-19;5432020;262
42369;05-AUG-19;5432018;262
42370;06-AUG-19;5432018;262
42371;07-AUG-19;5432095;262
42372;08-AUG-19;5432018;262
42373;09-AUG-19;5432018;262
42374;10-AUG-19;5432019;262
42375;11-AUG-19;5432020;262
42376;12-AUG-19;5432018;262
42377;13-AUG-19;5432018;262
42378;14-AUG-19;5432018;262
42379;15-AUG-19;5432018;262
42380;16-AUG-19;5432018;262
42381;17-AUG-19;5432019;262
42382;18-AUG-19;5432020;262
42383;19-AUG-19;5432095;262
42384;20-AUG-19;5432018;262
42385;21-AUG-19;5432018;262
42386;22-AUG-19;5432018;262
42387;23-AUG-19;5432018;262
42388;24-AUG-19;5432019;262
42389;25-AUG-19;5432020;262
42390;26-AUG-19;5432018;262
42391;27-AUG-19;5432018;262
42392;28-AUG-19;5432018;262
42393;29-AUG-19;5432018;262
42394;30-AUG-19;5432018;262
42395;31-AUG-19;5432019;262
42396;1-sep-19;5432020;262
42397;2-sep-19;5432018;262
42398;3-sep-19;5432018;262
42399;4-sep-19;5432018;262
42400;5-sep-19;5432018;262
42401;6-sep-19;5432018;262
42402;7-sep-19;5432019;262
42403;8-sep-19;5432020;262
42404;9-sep-19;5432018;262
42405;10-sep-19;5432018;262
42406;11-sep-19;5432018;262
42407;12-sep-19;5432018;262
42408;13-sep-19;5432018;262
42409;14-sep-19;5432019;262
42410;15-sep-19;5432020;262
42411;16-sep-19;5432018;262
42412;17-sep-19;5432018;262
42413;18-sep-19;5432018;262
42414;19-sep-19;5432018;262
42415;20-sep-19;5432018;262
42416;21-sep-19;5432019;262
42417;22-sep-19;5432020;262
42418;23-sep-19;5432018;262
42419;24-sep-19;5432018;262
42420;25-sep-19;5432018;262
42421;26-sep-19;5432018;262
42422;27-sep-19;5432018;262
42423;28-sep-19;5432019;262
42424;29-sep-19;5432020;262
42425;30-sep-19;5432018;262
42426;1-oct-19;5432018;262
42427;2-oct-19;5432018;262
42428;3-oct-19;5432018;262
42429;4-oct-19;5432018;262
42430;5-oct-19;5432019;262
42431;6-oct-19;5432020;262
42432;7-oct-19;5432018;262
42433;8-oct-19;5432018;262
42434;9-oct-19;5432018;262
42435;10-oct-19;5432018;262
42436;11-oct-19;5432018;262
42437;12-oct-19;5432019;262
42438;13-oct-19;5432020;262
42439;14-oct-19;5432095;262
42440;15-oct-19;5432018;262
42441;16-oct-19;5432018;262
42442;17-oct-19;5432018;262
42443;18-oct-19;5432018;262
42444;19-oct-19;5432019;262
42445;20-oct-19;5432020;262
42446;21-oct-19;5432018;262
42447;22-oct-19;5432018;262
42448;23-oct-19;5432018;262
42449;24-oct-19;5432018;262
42450;25-oct-19;5432018;262
42451;26-oct-19;5432019;262
42452;27-oct-19;5432020;262
42453;28-oct-19;5432018;262
42454;29-oct-19;5432018;262
42455;30-oct-19;5432018;262
42456;31-oct-19;5432018;262
42457;1-nov-19;5432018;262
42458;2-nov-19;5432019;262
42459;3-nov-19;5432020;262
42460;4-nov-19;5432095;262
42461;5-nov-19;5432018;262
42462;6-nov-19;5432018;262
42463;7-nov-19;5432018;262
42464;8-nov-19;5432018;262
42465;9-nov-19;5432019;262
42466;10-nov-19;5432020;262
42467;11-nov-19;5432095;262
42468;12-nov-19;5432018;262
42469;13-nov-19;5432018;262
42470;14-nov-19;5432018;262
42471;15-nov-19;5432018;262
42472;16-nov-19;5432019;262
42473;17-nov-19;5432020;262
42474;18-nov-19;5432018;262
42475;19-nov-19;5432018;262
42476;20-nov-19;5432018;262
42477;21-nov-19;5432018;262
42478;22-nov-19;5432018;262
42479;23-nov-19;5432019;262
42480;24-nov-19;5432020;262
42481;25-nov-19;5432018;262
42482;26-nov-19;5432018;262
42483;27-nov-19;5432018;262
42484;28-nov-19;5432018;262
42485;29-nov-19;5432018;262
42486;30-nov-19;5432019;262
42487;01-DEC-19;5432020;262
42488;02-DEC-19;5432018;262
42489;03-DEC-19;5432018;262
42490;04-DEC-19;5432018;262
42491;05-DEC-19;5432018;262
42492;06-DEC-19;5432018;262
42493;07-DEC-19;5432019;262
42494;08-DEC-19;5432095;262
42495;09-DEC-19;5432018;262
42496;10-DEC-19;5432018;262
42497;11-DEC-19;5432018;262
42498;12-DEC-19;5432018;262
42499;13-DEC-19;5432018;262
42500;14-DEC-19;5432019;262
42501;15-DEC-19;5432020;262
42502;16-DEC-19;5432018;262
42503;17-DEC-19;5432018;262
42504;18-DEC-19;5432018;262
42505;19-DEC-19;5432018;262
42506;20-DEC-19;5432018;262
42507;21-DEC-19;5432019;262
42508;22-DEC-19;5432020;262
42509;23-DEC-19;5432018;262
42510;24-DEC-19;5432018;262
42511;25-DEC-19;5432095;262
42512;26-DEC-19;5432018;262
42513;27-DEC-19;5432018;262
42514;28-DEC-19;5432019;262
42515;29-DEC-19;5432020;262
42516;30-DEC-19;5432018;262
42517;31-DEC-19;5432018;262
42325;22-jun-19;5432019;262
42326;23-jun-19;5432020;262
42105;10-jun-19;5392024;261
42106;11-jun-19;5392024;261
40725;18-mar-19;5232046;256
40726;19-mar-19;5232046;256
40727;20-mar-19;5232046;256
40728;21-mar-19;5232046;256
40729;22-mar-19;5232046;256
40730;23-mar-19;5232027;256
40731;24-mar-19;5232043;256
40732;25-mar-19;5232095;256
41607;1-may-19;5372095;259
41608;2-may-19;5372024;259
41609;3-may-19;5372024;259
41610;4-may-19;5372027;259
41611;5-may-19;5372043;259
41612;6-may-19;5372024;259
41613;7-may-19;5372024;259
41614;8-may-19;5372024;259
41615;9-may-19;5372024;259
41616;10-may-19;5372024;259
41617;11-may-19;5372027;259
41618;12-may-19;5372043;259
41605;29-APR-19;5372024;259
41606;30-APR-19;5372024;259
41327;17-APR-19;5312093;258
41328;18-APR-19;5312109;258
41329;19-APR-19;5312109;258
41330;20-APR-19;5312094;258
41331;21-APR-19;5312043;258
41332;22-APR-19;5312024;258
41333;23-APR-19;5312024;258
41334;24-APR-19;5312024;258
41335;25-APR-19;5312024;258
41336;26-APR-19;5312024;258
41337;27-APR-19;5312027;258
41338;28-APR-19;5312043;258
41325;15-APR-19;5312093;258
41326;16-APR-19;5312093;258
