SCHEDULETYPEID;PLANVERSIONID;SHORTNAME;DESCRIPTION
4972012;246;DHABIL-4;DIA HABIL 4
4972042;246;SAB3;SAB3
4972043;246;DOM3;Domingo 3
4972082;246;DOM-5;Domingo 5
5112020;251;DOM1;Domingo 1
5112024;251;DHABIL2;DIA HABIL 2
5172016;252;SAB4;Sabado 4
5112018;251;DHABIL1;Dia Habil 1
5112019;251;SAB1;Sabado 1
5172026;252;DOM2;DOMINGO 2
5172027;252;SAB2;SABADO 2
5172041;252;DHABIL3;DHABIL3
5172082;252;DOM-5;Domingo 5
5172122;252;DHABIL5;Habil 5
5172132;252;DOM-6;Domingo 6
5212016;255;SAB4;Sabado 4
5212038;255;DOM4;Domingo4
5212046;255;DHABIL4;DIA HABIL 4
5232027;256;SAB2;SABADO 2
5232043;256;DOM3;Domingo 3
5232046;256;DHABIL4;DIA HABIL 4
5232095;256;dom-fes;DOMINGO-FESTIVO
5312024;258;DHABIL2;DIA HABIL 2
5312027;258;SAB2;SABADO 2
5312043;258;DOM3;Domingo 3
5312093;258;HABSANTO;DIA HABILSEMANA SANTA
5312094;258;SABSANTO;SABADO SANTO
5312095;258;dom-fes;DOMINGO-FESTIVO
5312109;258;DOMSANT;DOMINGO SANTO
